Kód obce,Název obce,Voliči,Obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
589659,Kralice na Hané,1 257,807,804,"100,00",96,1,2,53,2,39,57,5,9,4,2,0,69,0,19,250,1,1,60,2,2,1,6,116
589667,Krumsín,465,284,284,"100,00",22,0,0,30,1,8,34,1,0,0,1,0,22,0,4,64,0,0,52,0,2,0,0,42
589675,Laškov,487,335,334,"100,00",15,1,0,18,1,9,30,3,0,5,0,0,23,0,10,103,0,0,71,0,3,3,1,37
589683,Lešany,320,196,194,"100,00",22,1,0,10,0,2,17,7,2,5,0,0,11,2,0,69,0,0,16,0,1,1,3,24
589691,Lipová,615,450,449,"100,00",24,0,0,39,0,16,51,1,1,4,0,0,21,0,8,132,0,0,102,0,0,0,0,50
589705,Ludmírov,480,239,239,"100,00",11,0,0,25,0,11,28,0,2,3,0,0,10,0,3,82,0,0,34,0,0,0,1,29
589713,Malé Hradisko,309,185,185,"100,00",18,0,3,19,0,13,23,3,1,0,0,0,7,0,1,38,0,0,27,0,2,0,0,28
589721,Mořice,422,226,223,"100,00",8,0,0,20,0,22,39,2,2,1,0,0,9,0,1,66,0,0,13,0,1,0,0,39
589730,Mostkovice,1 248,840,836,"100,00",98,1,1,55,0,23,59,7,2,3,0,2,58,0,21,299,1,1,49,0,3,0,4,141
589748,Myslejovice,569,371,370,"100,00",31,0,0,31,0,10,54,2,3,0,2,0,47,0,2,95,0,0,18,0,0,1,3,71
589756,Němčice nad Hanou,1 612,942,939,"100,00",79,1,4,96,0,23,110,6,6,4,3,1,44,3,24,264,0,2,79,1,6,2,5,176
589764,Nezamyslice,1 140,618,615,"100,00",51,2,0,56,0,27,58,4,6,2,1,1,35,1,16,205,0,0,57,1,0,0,3,89
589772,Niva,257,160,160,"100,00",6,0,0,26,0,7,32,1,1,2,0,0,10,0,0,41,0,0,12,0,0,0,1,21
589799,Obědkovice,207,95,94,"100,00",3,0,0,6,0,1,17,0,1,2,0,0,1,0,4,30,0,0,5,0,0,0,1,23
589802,Ohrozim,370,267,266,"100,00",30,0,0,20,1,10,18,0,1,3,1,0,21,0,8,56,0,2,51,0,0,0,3,40
